ts,reproduction,conc,length
1,0,2000,0.82125
2,0,2000,NA
3,0,2000,1.0987500000000001
4,0,2000,NA
5,0,2000,NA
6,0,2000,2.50875
7,0,2000,NA
8,0,2000,2.98125
9,0,2000,NA
10,0,2000,2.95575
11,0,2000,NA
12,6,2000,NA
13,6,2000,3.372
14,6,2000,NA
15,6,2000,3.49725
16,21,2000,NA
17,21,2000,3.5625
18,21,2000,NA
19,40,2000,NA
20,40,2000,3.7222500000000003
21,40,2000,NA
22,52,2000,3.62925
