ts,reproduction,conc,length
1,0,400,0.82125
2,0,400,NA
3,0,400,1.0987500000000001
4,0,400,NA
5,0,400,NA
6,0,400,2.50875
7,0,400,NA
8,0,400,2.98125
9,0,400,NA
10,0,400,2.95575
11,0,400,NA
12,5,400,NA
13,5,400,3.372
14,5,400,NA
15,14,400,3.49725
16,14,400,NA
17,14,400,3.5625
18,21,400,NA
19,21,400,NA
20,21,400,3.7222500000000003
21,49,400,NA
22,50,400,3.62925
